"Bank Prepayment","Bank Prepayment"
"Pay within X days","Betaling innen X dager"
"Please transfer the money within %s days to the following bank account","Vennligst overfør beløpet innen %s dager til følgende konto"
"Please transfer the money to the following bank account","Vennligst overfør beløpet til følgende konto"
"Please transfer the money within %s days to one of the following bank accounts","Vennligst overfør beløpet innen %s dager til følgende konto"
"Please transfer the money to one of the following bank accounts","Vennligst overfør beløpet til følgende konto"
"Account holder","Kontoinnehaver"
"Bank name","Bank navn"
"IBAN","IBAN"
"BIC","BIC"
"Account data for non SEPA countries","Kontodata for ikke-SEPA-land"
"Account number","Kontonummer"
"Sort code","Bankkode (not used in Norway)"
"Account info","Kontoinformasjon"
"Custom text","Tilpasset tekst"
"More information on this payment method can be found <a target=""_blank"" href=""%s"">here</a>.","Mer informasjon om denne betalingsmåten finner du <a target=""_blank"" href=""%s"">her</a>."
"Bank Account holder","Kontoinnehaver"
"Bank Accounts","Bankkontoer"
"Add Bank Account","Legg til bankkontoer"
"Delete Account","Slette kontoer"
"Add your bank accounts data","Legg til dine bankkontoer data"
"Form CMS Page","Form CMS Page"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Choose CMS page to display a link instead of the bank accounts in the payment form"
"Show bank accounts in PDF","Vis bankkontoer i PDF"
"Show custom text in PDF","Vis tilpasset tekst i PDF"
